story,amountRaised,goal,url,campaignTitle,numberContributors,endDate,currencyType
"DID YOU KNOW? Donny has red/green color deficiency o r
          ""colorblindness"" So while he can see most color he
          struggles to see certain colors or certain colors look
          different to him than to you and I. It's difficult to say if
          he even sees ""real"" colors the way we do. We play
          the ""what color is this?"" game a lot. -Sometimes Don can't
          differentiate between Guacamole and Bean dip without having to
          taste it since sometimes they are the same color to him. -He gave his sister food
          poisoning once because he couldn't tell that the chicken he
          cooked was still pink. (pink tends to look grey to him) -Speaking of which, this one
          time we were playing the Slug Bug game and this light blue beetle was driving by and he
          yelled ""PINK SLUG BUG"" before punching me- he
          cheated and we haven't played that game since. -He has to change the color
          options in his video games. Bad guys = red, team
          members=green, yeah... he can't tell most of the time so he
          ends up losing a lot because he doesn't shoot the bad guy or
          he shoots his own team member. (it's actually pretty cute when
          he plays with his little brother. The little brother sometimes
          coaches him ""Shoot!"" ""Don't shoot!"")
          You'll be surprised how many video games don't give color
          alternatives for red/green -Certain shades of Purple =
          Blue or vice versa in his world. I don't think he could see
          our wedding colors properly. I'm pretty sure he agreed to the
          color because I liked it and didn't want to disappoint me. -I've caught him asking little
          kids what colors were. Not because that's an adult thing to do
          but because he truly doesn't know . -When we shop he usually asks
          me ""what color are these?"" I've rescued him many
          times from buying the worst poop-colored pants. So. Many. Times. There's a ton more stories
          about Don and his color deficiency but it's part of our daily
          life we don't realize how lacking it
          truly is until its put in perspective, which makes for some
          funny stories. He's wanted to get these
          glasses forever. Life happens and we haven't been able to
          splurge on getting them. With your support we'd love for him
          to finally get them! Our goal is to get him two pairs, both
          the indoor and outdoor pair. Of course if we can get one of
          them funded, he'd be just as ecstatic. We'd be thankful for any
          support you can give!",435,of $429 goal,https://fundrazr.com/f1HL8a,Getting Don colorblind glasses!,8,"Nov 1, 2017",U.S. Dollar
"My husband, Joshua, has colorblindness
    effecting how he perceives reds and greens. We want to surprise him
    for his upcoming birthday with a pair of Enchroma glasses. Each time he sees a video of someone's
    reaction using these glasses he gets emotional - I just think it
    would be awesome to see his reaction. He's an amazing artist, for
    him to be able to see some of his own paintings' in vibrant color
    would be such a gift as well as his son's beautiful green eyes. Any little bit will help! Just trying to
    raise the last bit to give Josh the gift of a lifetime. Thank you in
    advnce for your help! WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",290,of $260 goal,https://fundrazr.com/d1Hka5,Help surprise my husband with Enchroma glasses,11,"Oct 6, 2017",U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",260,of $429 goal,https://fundrazr.com/81Hqec,Happy Birthday Enchroma glasses For Robert,3,"Oct 21, 2017",U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",545,of $785 goal,https://fundrazr.com/11HkY5,Help me get Jose Enchroma!,6,"Nov 26, 2017",U.S. Dollar
"I was out walking with Joel
      yesterday, admiring the beauty of the leaves changing. I pointed
      out how bright the red leaves that stood alone on a branch on a
      tree that the rest of the leaves were still green. He asked
      ""where?"" They were right in front of us and the stark
      contrast was incredible. He simply couldn't see it. It really
      motivated me to save up for those enchroma glasses for him. With
      him being color blind, he is unable to see the difference between
      the oranges reds and greens. The only color he was able to pick
      apart, was yellow. They all kind of blend together for him. I
      wanted to cry. He has been missing out on SO MUCH. The look on his
      face when he gets to see the colors will be worth the $400. I'm
      just hoping I can manage to get them before the leaves all turn brown. WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",100,of $400 goal,https://fundrazr.com/11HrRf,Help me get Enchroma glasses for Joel,1,"Nov 3, 2017",U.S. Dollar
"We all know how generous Zach
      is, let's work together to give back! This is a SECRET campaign,
      so only share with people you trust. We want to surprise him with
      colour vision!!! Please don't post this campaign to
      Facebook or anywhere that Zach can see it, it'll ruin the surprise! THANK YOU FOR BEING AWESOME --- WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",100,of $750 goal,https://fundrazr.com/f1HdA1,Please Help Us Get Zach Enchroma Glasses,1,"Nov 21, 2017",Canadian Dollar
"Their Story Hello Everyone, My name is Carrie and I have the
      pleasure of being a daughter and an Aunt to wonderful people. My
      father is in his 60s and has spent his entire life not being able
      to see all the colors in the rainbow. He has had carpenter jobs
      and has worked with cars, but has always had limitations. My
      father's art is truly amazing, but there is never colors. I want
      him to be able to add colors to his art and not have limitations.
      My two nephews will also spend a life without all the colors
      unless we can change that. The other day I pointed out a rainbow
      that was in the sky before I realized that they might not see it.
      The rainbow was faint appearing. My nephew must have stared in the
      sky for a good ten minutes trying to see it all. I want to give
      the gift of color vision to my family. Please contribute by
      donating and sharing their story. I hope to raise enough money to
      at least buy adult Enchroma glasses for my father to wear and the
      boys to try on, but it would be awesome if they all could have
      their own pair of glasses. Any amount helps and if you can not
      donate thank you for taking the time to read my message and please
      share. Thank you. WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",106,of $1.1k goal,https://fundrazr.com/81HE49,Help me give the gift of color vision to my Boys,4,"Nov 30, 2017",U.S. Dollar
"Amazing parents Andrew and Sarah are raising funds to help their
  beautiful twin boys Freddie and Louie, and other children suffering
  from the rare, degenerative condition, CLN5 Batten disease. Freddie and Louie Dawkins are the only known twins in the world with
  this rare form of a rare disease. Born perfectly healthy in 2005, they
  became autistic, blind and recently developed epilepsy. When they were
  diagnosed in 2009, doctors said that without major advancements in
  medical science, there was no hope, no treatment and no cure. In February 2014 Andrew and Sarah decided to fight back through
  ‘Battle Batten’ their very own campaign to exclusively raise money for
  research into CLN5 Batten disease. Originally aiming for just £1,000, they have so far raised an
  incredible £80,000 and unbelievably commissioned two research
  projects. They are the first UK family to privately commission
  research into CLN5 Batten disease; donating funds to the Batten
  Disease Family Association (BDFA), a charity who is managing the
  projects on the family’s behalf. The cash raised in just 12 months has been unexpected, and
  emotionally overwhelming for the family and still, the momentum and
  passion is strong. The family will continue to fundraise for as long
  as they can. Proceeds will be donated to research projects and will
  buy equipment that best offers hope to children with CLN5, including
  Freddie and Louie.",365,of £100k goal,https://fundrazr.com/611LCf,Battle Batten with us,15,,Pound Sterling
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions","20,100",of $6.5k goal,https://fundrazr.com/61Hum2,¡Ayúdame a conseguir los Enchroma y ver mejor!,2,,Mexican Peso
"Help me get the Enchroma
      glasses for Jeremy! My fiance Jeremy Petrik has been color blind for as long as he can
    remember.  He can see some colors, but most of them end up blending
    together to all look the same, especially when they are close to
    each other or slight variations. He often tells me about how in
    school when it came time to do geography and look at maps he was so
    embarrassed that he had to go tell the teachers that he can’t tell
    the difference in the colors on the maps.  I would love to get these
    glasses for Jeremy’s birthday coming up in December.  I would love
    to take him to a car show (something he is so passionate about) to
    see all the colors he has been missing out on. To wake him up early
    to see a sunrise and all the beautiful colors that he can’t tell a
    difference between.  I just know this will blow his mind and he will
    love it.  Any help you can give will go directly to this purchase.
     If I don’t reach my goal, you don’t lose anything. All I ask is you
    keep this a secret and DONT let Jeremy know what we are doing! WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",100,of $579 goal,https://fundrazr.com/Jeremypetrik,Help me get Enchroma glasses for Jeremy,1,"Dec 4, 2017",U.S. Dollar
"Most of you know me - but for those who don't and are viewing my
  fundraising page for the first time, I'm E.K.
    ""Terri"" Braswell . Currently, I'm retired and recovering from my third hip-replacement
  surgery which just occurred this past July 2017. Yes, my third
  replacement surgery :( ...and though challenging at times -  I have
  found strength through prayer and meditation, your kind words and
  encouragement and my own inner strength. My recovery from surgery will
  take anywhere from 6 months to a year.  Though my health insurance
  covered some of my surgery, it will not cover all of my medical cost
  including my physical therapy cost which I'm currently enrolled in.  I
  set up this fundraising page as a way to not only raise money towards
  my medical expenses but to also keep family, friends and colleagues
  updated on my recovery journey. I'm humbly reaching out to you all for your financial support.
  Anything you donate is more appreciated than you can imagine, as I'm
  grateful for the smallest amount of help you may be able to lend to my
  fundraising effort. Who is E.K. ""Terri"" Braswell ? I currently reside in Washington, DC's Reed-Cooke neighborhood -
  situated within the boundaries of the larger and more prominent and
  multicultural neighborhood - Adam's Morgan.  I have been a resident in
  the nation's capital for 30 plus years and am now a retired business
  owner and community organizer in the Adams Morgan community for 20
  years.  I have been actively involved [past & currently] in the
  following organizations: Adam Morgan Main Street Festival, Reed-Cooke
  Neighborhood Association, a volunteer at 89.3 /WPFW radio station and
  a passionate advocate for social justice and equality [for LGBTI) in
  DC's Ward 1. Thank you so much for your love and support!  GOD Bless You! Please feel free to share my fundraising campaign on Facebook,
  Instagram and Twitter - Thank You!",500,of $2k goal,https://fundrazr.com/21GX1a,“MAKE A DIFFERENCE” - I NEED YOUR HELP!!,10,"Oct 6, 2017",U.S. Dollar
"Any fan who's been to Media West Con in Lansing, or to many of the
  movie theatres in the area, has probably run into Scott and Suzy
  Rosema. Scott's a big guy with a big voice and an incredible talent
  for drawing comic and fantasy characters. Suzy is a brilliant stained
  glass artist with a ready smile. They've been regular MWC attendees
  for many years. They sometimes sell Scott's prints at the local movie theaters. Suzy has just been diagnosed
      with breast cancer. This is both emotionally devastating, and financially horrific. Scott
  and Suzy are already struggling to catch up from a period of financial
  hardship, and this is a mighty blow. What can you do? Spread the word . PLEASE tell others about this fundrazr effort. If even 20 people can
  give $5, that's food for a week. If 20 people give $10, that's the
  electric bill. Sheer numbers matter. Donate. Any amount helps. Truly. Mortgage companies
  won't take partial payments, so sometimes that $3 that is all you or a
  friend can afford can make a huge difference. Pray . However you talk to the Force, please do. Remind people about the fundraiser. They may mean to make a donation,
  but need to wait till payday and then forget. It will take all of us. You'll likely have noticed my name isn't in here. That's because I'm
  not important in this, I'm merely getting things going. I've known
  Suzy and Scott for something like 20 years, and they are Good People.
  So please help. ALL DONATIONS GO DIRECTLY TO SCOTT AND SUZY.","1,008",of $7k goal,https://fundrazr.com/01Hqq9,Make a difference in Suzy Rosema's fight for life!,20,"Nov 2, 2017",U.S. Dollar
"This is a unique open collaboration between the TwinsUK team at King's College London and The
      American Gut Project (AGP) to try to understand the bacterial
    diversity of the British Gut . *Notice: We are experiencing some delays with kit turnover, so
    please allow 2-3 weeks for your kit to arrive.* Many people don't realize that the bacteria that live inside us play
  an incredibly important role in our health. There are so many of them,
  that they make up 90 percent of the cells in our body and their most
  important jobs include manufacturing vitamins for us and breaking down
  and digesting our food. The trillions of bacteria in our gut weigh
  nearly 2 kg (over 4lbs). This community of bacteria can be thought of
  as an extra 'organ' which we call our ""microbiome"". We
  evolved together with our microbiome over millions of years. Recent
  research has discovered that small changes in this finely balanced
  community can affect our immune system, metabolism, body weight, mood
  and may even cause diseases such as Crohn's disease, irritable bowel
  syndrome, cancer, autoimmune disease, diabetes and heart disease. This is the first project of its kind in Europe and, with your help,
  we will be able to discover more about the crucial relationship
  between our health and our microbiome, and on a personal level, you
  will be able to discover the bacterial profile of your own gut. With
  your help, we hope to be able to answer questions such as 'How much
  does our choice of lifestyle and diet influence our microbiome, and
  can we alter our microbiome to make us healthier?' We are discovering that each person is very different and has their
  own unique microbiome. More research is needed to work out what
  constitutes a 'healthy' microbiome, and which combinations of bacteria
  should try and be avoided. In order to do this ambitious and
  much-needed project, we urgently need a large scale collection of
  human samples. Over 7 thousand people have already signed up in
  America already- but we need many more from UK Europe. The project mainly focuses on the gut as this is our main 'microbial
  home', however, the study will also look at oral, skin and (for women)
  vaginal communities as these areas of the body have problems such as
  tooth decay, gum disease, acne and infertility and may be influenced
  by the microbiome. What does it entail? First you need to sign up (see Perks on the right) and select your
  level of contribution to the project. Within two weeks, you will
  receive a kit in the mail together with detailed instructions on how
  to proceed. Shipping within the UK first class should be around £2.90,
  but we recommend taking the sample to the post office to get the
  proper postage. Getting the postage right on the first try is
  important since samples that spend a long time in transit will likely
  not produce the highest quality results. After you have returned your
  sample to us, the samples will be processed and analysed by the Knight
  Lab at University of California, San Diego and you will be provided
  with a list of the major groups of bacteria in your sample and the
  proportions in which they are found. We estimate that this will take
  around 3 months (but possibly longer) and once we provide you with
  your results, you will be able to see how your bacterial community
  compares to others in the study. From the diet and lifestyle
  information that you provide, we will also be able to show you how
  your results compare to other people who are within the same diet and
  lifestyle group as you (but having a very different result to them
  does not necessarily mean anything bad, it can just be that you have
  experienced slight lifestyle differences that mean that your bacterial
  profile is different). Please note that this is a scientific study, not a clinical or
      commercial project, and we will not be able to provide you with
      any clinical information related to your microbiome profile. How will my sample be used? The British Gut project, like the American model, gives participants
  the opportunity to compare their personal microbiome profiles to
  family members, and other people both in the UK and abroad. Our
  project is based on the principles of 'access to all'. The data
  collected from the sample you provide will be shared anonymously both
  with participants and scientists, allowing many different scientific
  hypotheses and questions to be answered using your valuable sample. We look forward to working together on this new and exciting project.
  If you have any questions, email us at info@britishgut.org Tim Spector","433,955",,https://fundrazr.com/britishgut,British Gut,,,
"The Human Microbiome Project and other microbiome projects worldwide
  have laid an important foundation for understanding the trillions of
  microbes that inhabit our bodies and their impact on health and
  disease. However, opportunities for the public to get involved in such
  research have been limited. Now, American Gut gives you an opportunity
  to join this research project and learn what’s living on and inside you American Gut is a project built on open-source, open-access
  principles. The data we collect is de-identified and then deposited
  into open repositories for the benefit of other researchers and scientists. Join the project! Joining is simple! Select the kit you would like from the list of
  options on the left-hand side by clicking “Claim this perk”. Your kit
  will be sent via mail within 1-2 weeks after payment. International participants are also welcome to join. However, please
  note that a $25 shipping fee does apply. We ask that samples be sent
  back to our lab within 48-72 hours. The cost of expedited shipping to
  our lab in the US from some locations can be expensive, so it is also
  recommended that you look into the cost of return shipping. If you are currently residing in Europe, visit our sister site the British Gut to join this
  research project. A few important points to remember before joining this
    research project: 1. Note your de-identified information will be part of a research
  study and will be made available in a publicly available research
  database. That is, any personal information that might easily identify
  who you are will be removed before being placed in the public database. 2. If you decide that you no longer wish to continue in this study,
  you will be requested to contact the American Gut Project help line
    ( info@americangut.org ) to inform us of your intent
  to withdraw. You may request a refund within 50 days of your original
  payment if you have not yet used your kit. Please note that the
  Fundrazr transaction fee will be deducted from your refund. 3. The consent forms are maintained on the participant website;
  details are included in your kit. To sign the consent form, you must
  agree to use an electronic format for your signature in accordance
  with the United States' eSIGN Act and California's UETA Act. You have
  the right to obtain the electronic record in a non-electronic form. 4. The results you receive from submitting a sample are not meant to
  act as medical or health diagnoses. We will not be able to provide any
  clinical or medical information from your results. You may find a full overview of the project at http://humanfoodproject.com/americangut/ , or visit
  us at www.americangut.org .","1,523,771",,https://fundrazr.com/americangut,American Gut,,,
"I am Michael Maberry's wife, we have been married for 5 years
    in October and friends for 6 years. Michael has worked since he was
    14. He had a great work ethic and worked not only his full time job
    but side jobs. He was a mechanic and painter a nd
    his main career was for 30+years as a Manager and District Manager
    in the Grocery field. In September 2015 his life was changed forever. As he was
    closing at his new job for the night, two armed men came in and
    robbed the store. He was beaten for over 20 minutes against the safe
    and with the handgun. Michael has had both knees operated on due to
    being slammed to the floor numerous times. He now has black out
    seizures, some are in the brain and many of the seizures are Grand
    Mal. In April of this year I came home to find him in a continual
    seizure episode. He was hospitilized and in ICU. His hospital stay
    ran for a week and I lost income due to having to stay with him. His
    diagnosis is TBI, PTSD and 80% loss of hearing on his left side (we
    are awaiting surgery on that issue); he will never be able to work
    according to his Doctors and he is unable to drive so, we have to
    pay for his rides to therapy, Doctors visits etc. Our medical bills are mounting and there has been no place to
    go for needed items. We have applied for his SSD but they are in the
    hearing stage which can be another 18 months. We have monthly
    expenses for monitors to keep him safe, and the loss of his income
    has left us with no savings and behind on bills. We have filed for
    everything under the sun but we are still waiting, with no end in
    sight. Our needs are to pay his medical bills, maintain payment on
    his fall detection monitor, get him a new cane and pay for the
    numerous supplements that he has to take. If all bills get paid with
    this campaign, I'd also be exlploring hyperbaric treatment; studies
    have shown tremendous results with traumautic brain injury.We are
    optimistic with quality care and less stress that he will be able to
    maintain living safely in our home.","2,440",of $15k goal,https://fundrazr.com/michaelmaberryshealthfund,Help for a Victim of Assault and Robbery,32,"Dec 1, 2017",U.S. Dollar
"At the age of only 39, Dustan Leyba has been diagnosed with stage 4
  cervical cancer. Treatment is not only necessary, but urgent. The
  tumors are throughout her body, and the two biggest are the sizes of a
  baseball and a basketball. This is very serious, and requires a lot of
  time, money, and effort. She is a mother to her three children who still live at home, the
  youngest being only a year old. She is the matriarch of seven
  children, three of which have children of their own, making her a
  grandmother as well. She has every reason and right to fight this
  battle and money should not be a worry for her, we've set up this
  campaign to ease her mind and stress as she undergoes chemo,
  surgeries, and radiation. This money will also cover taking care of
  her two youngest toddlers while her husband and son work to pay bills
  as well. We want her to win this battle, and she will, but the added help
  financially is at times life saving. Without previous contributions,
  we would not have made it to the tumor institute in Boise last minute.
  We have been so blessed by the caring people who've decided to
  contribute to my mother's cause. Truly, truly blessed. We are holding an art auction on Instagram to raise money, please
  visit @tealblueformeowladyhoo for more information. Dustan underwent her first session radical chemotherapy on May 16, 2017. Three rounds of chemotherapy and two rounds of radiation and the
  tumors have almost disappeared. She will still undergo chemo for the
  rest of her life though. We are so thankful for all the support, we can't even begin to
  explain the helpfulness of others, it's been amazing.",595,of $2k goal,https://fundrazr.com/21ETP3,Mother of 7 Diagnosed With Cancer,13,,U.S. Dollar
"OUR GAME PLAN We are looking into effective alternative treatments to try to
    save Mom's life. She needs cancer-killing herbs, roots, oils, a raw
    foods diet, and we might even consider a trip to the States to a
    cancer clinic that has had a high success rate in treating people
    with cancer, plus we’re trying to get her moved back to B.C. so she can be
    near to family during this difficult time. The costs she faces are considerable, and unfortunately,
    alternative treatments aren’t recognized or covered under most
    health plans, and standard treatments also entail costs, both of
    which are looming on the horizon. Mom has grappled with health problems for years and suffers with
    pain each day, and yet in spite of this, she has reached out to help
    others heal emotionally. I’m praying that in her time of need, her friends and
    acquaintances will come to her aid. This would pave the way for her to get the treatments she needs
    to win this terrible battle she faces. ABOUT MY MOM From an early age, Mom shared a deep bond with animals. She
    traveled to the tropics and was captivated by the parrots there. In
    later years, she worked with abused parrots and rehabilitated them,
    teaching them to trust and love again. My mom has always been deeply touched by music and she is a
    talented guitarist and plays the piano. One of her favorite piano
    pieces is Clair de Lune by Debussy. She’s also an author and needs more time to finish and publish
    the books she was working on before she fell ill. She is my mother and a loving grandmother and we don't want her
    life cut short, nor have her torn away from us. One of her greatest
    wishes is to have more years to spend with us. LET’S HELP MAKE HER WISHES COME TRUE If you decide to donate to this fundraiser, any gift, whether
    large or small, will be deeply appreciated, and we thank you from
    the bottom of our hearts. Your actions may make a huge difference to
    Mom’s life and to all those who care about her and who don’t want to
    lose her.","1,500",of $20k goal,https://fundrazr.com/41FO1c,PLEASE HELP SAVE MY MOM,12,,Canadian Dollar
"The past month has been the most excruciating I have ever known but
  within it has been Jaspers fight for life. Each day of the first 3
  weeks had presented numerous challenges both large and small and he
  has shown thus far that he is meeting them. He is now physically stable. Jasper suffered a major seizure the evening of 2/12/16. The
  severity of which has left him with anoxic brain injury (this is
  similar to a stroke). The complexity of this condition and the
  complete unknown aspect of what lies ahead in terms of recovery is
  what is being faced at this time. Jasper has weathered the
  'neurological storms' that came upon him as a result of this injury.
  These were very severe and difficult to bear. Doctors stated that
  these ""storms"" could last days, weeks, years or never cease.
  The absolutely wonderful news is his neurological storms have subsided
  after less than a month and he has been slowly awakening from this state. He has begun to move both legs, move his eyes ( visual
  tracking) and to turn his head. Very positive steps forward. He
  responds to touch and stimuli and a few times- though not yet
  consistent-we saw a smile......it was beautiful to see! Julianne, Jasper's mom (03/29/16) What we do know is that his recovery is going to be a long
  road. He is facing years of rehabilitation, initially in a
  facility equipped to deal with rebuilding his physical  and cognitive
  abilities. This is going to be costly and we need your help . Your generous donations will be
  used to ensure that Jasper is able to get the care he needs to reclaim
  his life.","54,275",of $200k goal,https://fundrazr.com/f17Vw9,Jasper's fund,532,,U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",240,of $349 goal,https://fundrazr.com/31FRxf,Help me get my husband Enchroma glasses,5,"Dec 31, 2017",U.S. Dollar
"Do you know Michelle, like I know Michelle? I first met Michelle
  almost 8 years ago when we were taking a course together. We became
  fast friends as we shared a love of family, food and life. Her
  positive and caring spirit along with her amazing sense of humor have
  always inspired me. She has made a career as an incredibly talented
  Stylist and has shared her passion with a great many colleagues and
  students over the past 23 years. Just over a year ago, upon returning home from a business trip to
  California, Michelle started experiencing minor symptoms of not
  feeling well and knew that something was off. There is no way any of
  us could have predicted what would follow. It turned out that Michelle
  was in Congestive Heart Failure and was taken by Air Ambulance out of
  Williams Lake so that further diagnostic tests could be performed. Her
  husband Jamie was working out in the middle of the Chilcoltin and it
  was uncertain if we would be able to contact him. By the efforts of an
  amazing friend, he was reached and given the shocking news that his
  wife was in Cardiac Failure. The results of these early test had her
  referred to much more specialized Doctors in Vancouver at St. Paul's
  Hospital. She was admitted to hospital to undergo more specialized and
  invasive tests and underwent surgery to implant a Cardiac
  Defibrillator. Immediately prior to discharge Michelle was informed
  that she would need to have a Heart Transplant and that she would need
  to be on a regimen of extensive medications and dietary restrictions
  to stabilize her heart while we waited for transplant. This was
  shocking news to say the least. Michelle had been tested from an early
  age on a regular basis because a heart condition ran in her family.
  Her older brother died of a sudden cardiac event at age 15 in 1982 and
  her Father in January of 1990. No cardiac symptoms presented in
  Michelle and by age 32 she figured that she didn't have the genetic
  defect, and like so many others, found herself without a Family
  Physician so did not undergo further cardiac testing for over a decade. Michelle has not been able to work since May of 2016 and has had to
  travel to Vancouver from Williams Lake several times over the last
  year to see the team of Transplant Doctors. With becoming a single
  income household, she is anxious as to how to pay for the upcoming
  expenses that will be incurred for Transplant, a burden she does not
  want to leave to her Husband, Jamie, to figure out. Recently Michelle and Jamie were evacuated from their home due to the
  wildfires surrounding their hometown here in BC. They spent 3 weeks
  away from home and it was while they were evacuated that Michelle got
  the news that she is now ""active"" on the Transplant list.
  This means that BC Transplant is actively looking for a Donor Heart
  match for her and that they could get the call at anytime. Michelle will have to remain in Vancouver post-surgery in order to be
  monitored for symptoms of rejection and infection. She will not be
  able to be on her own in the weeks and months immediately following
  surgery and it is anticipated that she will have to remain in
  Vancouver for up to 12 months to participate in the rehabilitation process. I have always known Michelle to be kind and thoughtful and usually is
  happiest helping others or feeding people. She has a joyful and
  generous spirit and is beloved by many but especially friends and
  family. Will you help Michelle and Jamie and alleviate the pressure of
  this monumental journey they are about to go through? Even the
  smallest donation will help. Please donate today and help this very
  special person not have to worry and be focused on her recovery.","7,290",of $30k goal,https://fundrazr.com/newheartformichelle,Please help us fund Michelle's Heart Transplant,46,"Jul 1, 2018",Canadian Dollar
